ID,#日本語(原文),#やさしい日本語,#英語(原文),
7897,彼は深い学識のある人だ。,彼は深い知識のある人だ。,he is a man of profound knowledge .,
7898,その車は動こうとしなかった。,その車は動こうとしなかった。,the car wouldn 't start .,
7899,彼女は静かに部屋に入った。,彼女は静かに部屋に入った。,she quietly entered the room .,
7900,私はばかにされていた。,私は馬鹿にされていた。,they were making a fool of me .,
7901,私に言ってくれてもよかったのに。,私に言ってくれてもよかったのに。,you might have told me .,
7902,私は昨日忙しかった。,私は昨日忙しかった。,i was busy yesterday .,
7903,この部屋でくつろいで下さい。,この部屋で体を休ませてください。,make yourself at home in this room .,
7904,君は手先が器用だね。,あなたは手をうまく動かすことができるね。,"you have a light hand , don 't you ?",
7905,父はとても元気でやっています。,父はとても元気でやっています。,my father is getting along very well .,
7906,私たちは、一日に三食とります。,私たちは、１日に３回食べます。,we have three meals a day .,
7907,イスはそのままにしておきなさい。,座るためのものはそのままにしておきなさい。,leave the chairs as they are .,
7908,私の友人のジョージがこの夏に日本に来ます。,私の友達のジョージがこの夏に日本に来ます。,my friend george is coming to japan this summer .,
7909,試験の合否はどのくらい勉強するかによる。,試験のが合格するかどうかはどのくらい勉強するかによる。,your success in the examination depends on how hard you study .,
7910,そのことは問題にしたくない。,そのことは問題にしたくない。,i don 't want to make an issue of it .,
7911,あらゆる可能な手段をつくしてみた。,あらゆる可能な方法をやってみた。,all possible means have been tried .,
7912,彼女は奇妙な夢を見た。,彼女はおかしい夢を見た。,she dreamed a strange dream .,
7913,どんな試験にも受かるように一生懸命勉強しなさい。,どんな試験にも合格するように頑張って勉強しなさい。,you should work hard so that you can pass any exam you take .,
7914,そんな奇妙な話は聞いたことがない。,そんなおかしい話は聞いたことがない。,i 've never heard of such a strange story .,
7915,部屋の中でそんなにさわぐな。,部屋の中でそんなにうるさくするな。,don 't make so much noise in the room .,
7916,それを知らないほど馬鹿ではない。,それを知らないほど馬鹿ではない。,he is not such a fool but he knows it .,
7917,私は医者になるつもりだったのに。,私は医者になるつもりだったのに。,i intended to have been a doctor .,
7918,トムと私は共通したところが何もない。,トムと私は共通したところが何もない。,tom and i have nothing in common .,
7919,あなたは野球を知っていますか。,あなたは野球を知っていますか。,do you know baseball ?,
7920,汽車はまだ到着していません。,列車はまだ着いていません。,the train hasn 't arrived yet .,
7921,彼は若いころ体が弱かったようだ。,彼は若い頃体が弱かったようだ。,he seems to have been in poor health when young .,
7922,いつ彼女と知り合ったのですか。,いつ彼女とお互いを知ったのですか。,when did you come to know her ?,
7923,私は病気だったので学校に行かなかった。,私は病気だったので学校に行かなかった。,"as i was sick , i did not go to school .",
7924,彼の弟は彼を見送るため駅へ行った。,彼の弟は彼を最後まで見るため駅へ行った。,his brother went to the station to see him off .,
7925,彼は見たことを彼らに報告した。,彼は見たことを彼らに報告した。,he reported to them what he had seen .,
7926,君を助けるためなら私は何でも喜んでする。,あなたを助けるためなら私は何でも喜んでする。,i am ready to do anything to help you .,
7927,人生は空虚な夢ではない。,人生は価値のない夢ではない。,life is not an empty dream .,
7928,彼が大学生かどうか私は知らない。,彼が大学生かどうか私は知らない。,i don 't know whether he is a college student or not .,
7929,彼が成功する望みはほとんどない。,彼が成功する可能性はほとんどない。,there is very little hope of his success .,
7930,将来どんなことが起こるかまったく分からない。,将来どんなことが起こるか全く分からない。,you never can tell what will happen in the future .,
7931,その計画に参加させてもらえませんか。,その計画に参加させてもらえませんか。,would you take part in the project ?,
7932,お名前が聞きとれませんでした。,お名前が聞こえませんでした。,i didn 't get your name .,
7933,長い休暇で彼は健康を取り戻すだろう。,長い休みで彼は健康を再び手に入れるだろう。,the long vacation will give him back his health .,
